时间,中国香港、澳门,中国台湾,新加坡,韩国,日本,泰国,澳大利亚,马来西亚,美国,加拿大,德国,法国,英国,瑞士,荷兰,其他
1990,699,45,5,0,12,2,2,1,16,2,0,1,2,3,0,6
1991,885,36,8,3,17,3,1,0,18,2,2,3,2,1,1,4
1992,1330,88,20,5,16,8,6,3,57,8,1,2,5,0,1,11
1993,2834,154,24,8,27,15,14,5,104,22,2,4,16,2,3,23
1994,1885,124,29,8,25,8,7,3,74,10,5,3,19,0,1,22
1995,1288,100,26,14,36,11,9,6,71,9,3,1,18,2,4,40
1996,760,85,15,11,15,4,6,6,42,7,3,4,14,1,2,24
1997,1576,85,14,9,13,3,5,5,35,8,2,3,5,3,0,20
1998,1614,119,19,7,12,1,4,2,58,4,5,1,4,1,3,61
1999,1355,45,14,7,8,0,2,0,37,12,3,0,4,0,1,70
2000,1474,67,19,12,9,1,7,2,52,17,4,1,3,0,2,165
2001,1288,179,28,22,25,3,10,6,72,14,2,2,2,2,2,203
2002,1498,239,34,25,35,3,13,11,77,12,4,3,9,1,7,220
2003,1852,260,25,35,33,3,14,6,72,23,2,3,7,0,4,234
2004,1959,122,44,42,51,0,14,10,84,22,12,5,15,1,6,331
2005,1974,144,51,43,45,3,9,6,100,16,14,4,24,7,9,348
2006,2233,152,48,42,38,2,28,17,110,19,11,5,21,5,7,367
2007,3427,165,48,50,46,6,19,10,78,15,12,3,15,2,5,299
2008,2582,82,27,34,41,2,10,15,62,13,4,3,9,6,3,153
2009,1142,85,17,25,24,4,9,11,49,10,7,7,5,1,0,102
2010,1472,112,23,24,34,3,5,15,46,7,7,9,6,2,3,161
2011,1985,125,29,37,27,2,10,12,51,8,15,9,7,1,2,193
2012,1988,76,25,40,25,3,10,12,30,11,7,5,6,3,1,186
2013,1611,110,29,38,22,2,12,11,36,12,8,9,10,4,5,137
2014,2011,119,41,55,21,2,9,12,38,13,5,3,14,2,6,139
2015,2673,164,48,91,16,2,17,26,65,22,10,4,14,1,6,200
2016,3365,186,43,66,12,7,17,44,80,29,14,11,25,4,4,225
2017,5717,234,54,59,27,6,26,53,101,32,20,17,34,4,3,370
2018,13703,297,60,65,35,9,38,65,117,50,19,15,36,3,9,313
2019,4622,280,84,88,41,13,30,65,135,38,19,16,42,8,7,379
2020,2985,311,67,79,23,7,27,30,114,58,24,13,28,6,12,650
2021,3654,460,102,135,40,9,28,44,151,58,27,17,49,9,10,995
2022,2730,359,75,69,29,4,31,31,102,63,17,14,35,5,4,721
2023,5315,578,115,101,56,16,55,69,143,86,19,17,53,5,11,1363
